objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Seastead","307656","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134202334","5.71401","6.71365","2.8235","5930","1490","thing","Seastead","1","2","30","30","30","2020","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","WizKids (I)","English","2020","English edition"
"Senjutsu: Battle For Japan","343900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135086287","6.00774","7.23757","2.9167","3082","4025","thing","Senjutsu: Battle For Japan","1","4","20","20","15","2023","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","26.21","USD","","","2025-08-06","LuckyDuckGames.com","","","","","Lucky Duck Games","English","2023","English retail edition"
"Sentinels of the Multiverse: Definitive Edition","335212","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004958","6.54962","8.14545","2.8036","1185","4668","thing","Sentinels of the Multiverse: Definitive Edition","1","5","60","60","30","2022","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Shackleton Base: A Journey to the Moon","408180","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131235190","6.90321","8.02239","3.8944","609","5368","thing","Shackleton Base: A Journey to the Moon","1","4","120","120","60","2025","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","63.99","USD","","","2025-08-06","Tabletopmerchant.com","","","","","Pandasaurus Games","English","2025","Pandasaurus English edition"
"Shapers of Gaia","359587","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133005086","5.55107","7.1586","3.2222","12879","206","thing","Shapers of Gaia","2","3","90","90","60","2022","2,3","2,3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Shards of Infinity","244115","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125960017","6.82324","7.43286","2.0894","718","9466","thing","Shards of Infinity","2","4","30","30","30","2018","2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shards of Infinity: Saga Collection","393871","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133005076","5.72165","8.11903","2.3333","0","853","thing","Shards of Infinity: Saga Collection","1","6","0","0","0","2025","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","48","USD","","","2025-01-22","Cardhaus.com","1","","","","","","",""
"Sidereal Confluence","202426","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","123405043","7.09233","7.76317","3.5759","396","8679","thing","Sidereal Confluence","4","9","180","180","120","2017","4,5,6,7,8,9","5,6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sidereal Confluence: Bifurcation","349344","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132039857","5.74418","8.75638","3.9231","0","1468","thing","Sidereal Confluence: Bifurcation","4","9","180","180","120","2022","4,5,6,7,8,9","7","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Skara Brae","408636","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135598892","6.1991","7.73757","2.6458","2213","2808","thing","Skara Brae","1","4","60","60","45","2025","1,2,3,4","1","12+","No necessary in-game text","","","","","","standalone","","35.74","USD","","","2025-09-13","Tabletopmerchant.com","","","","","Garphill Games; Renegade Game Studios","English","2025","Renegade English edition"
"Skull King","150145","9.5","31","0","1","0","0","0","0","0","0","0","3","","","","","","123172646","7.20192","7.53193","1.7401","298","31556","thing","Skull King","2","8","30","30","30","2013","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Smartphone Inc.","246684","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131889901","7.05104","7.5655","2.8087","440","10274","thing","Smartphone Inc.","1","5","90","90","60","2018","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Smash Up","122522","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125959839","6.51358","6.69367","2.0629","1273","47786","thing","Smash Up","2","4","45","45","45","2012","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Snails","400203","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134555283","5.90543","7.61345","2.2609","3765","1170","thing","Snails","2","4","60","60","45","2024","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","27.99","USD","","","2025-07-22","Cardhaus.com","","","","","Galakta","English","2024","English edition"
"So Clover!","329839","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","133003968","7.23054","7.59226","1.1204","277","19680","thing","So Clover!","3","6","30","30","30","2021","2,3,4,5,6","3,4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Base","242302","9","36","0","1","0","0","0","0","0","0","0","3","","","","","","110186081","7.3197","7.53869","2.1319","223","31339","thing","Space Base","2","5","60","60","60","2018","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Base: Biodome","322546","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","130534256","5.68915","8.10806","2","0","1617","thing","Space Base: Biodome","2","5","60","60","50","2021","3,4,5","4","","","","","","","","expansion","","","","","","","","","","","","Alderac Entertainment Group","English","2021","English edition"
"Space Base: Command Station","277564","8","0","0","1","0","0","0","0","0","0","0","2","","","","","","129386314","6.08038","7.73154","1.8333","0","4991","thing","Space Base: Command Station","2","7","60","60","60","2019","3,4,5,6,7","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Space Base: Dead Reckoning Promo Cards","359273","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131093199","5.54904","8.04444","2","0","637","thing","Space Base: Dead Reckoning Promo Cards","2","5","60","60","60","2022","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Space Base: Genesis","388569","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130534273","5.73225","8.41205","2.5","0","1831","thing","Space Base: Genesis","2","5","60","60","45","2024","2,3,4,5","3,4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Space Base: The Emergence of Shy Pluto","266483","5.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","130534210","6.36692","7.70593","2.125","0","7548","thing","Space Base: The Emergence of Shy Pluto","2","5","75","75","30","2019","2,3,4,5","4","12+","","","","","","","expansion","","27.99","USD","","","2025-01-22","Cardhause.com","1","","","","Alderac Entertainment Group","English","2019","English edition"
"Space Base: The Mysteries of Terra Proxima","349810","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","129386326","5.71034","7.53175","2.3333","0","2773","thing","Space Base: The Mysteries of Terra Proxima","2","5","60","60","60","2022","2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Spirit Island","162886","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004520","8.1414","8.34006","4.076","11","94672","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirit Island: Branch & Claw","193065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004527","8.11158","8.97936","4.2259","0","30015","thing","Spirit Island: Branch & Claw","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Spirit Island: Feather & Flame","356510","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004537","6.85762","8.99957","4.5122","0","8626","thing","Spirit Island: Feather & Flame","1","4","120","120","90","2022","1,2,3,4","2","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Spirit Island: Jagged Earth","262722","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004554","8.18594","9.33156","4.5184","0","23494","thing","Spirit Island: Jagged Earth","1","6","120","120","90","2020","1,2,3,4,5","2,3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Spirit Island: Nature Incarnate","365137","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004563","7.15104","9.33899","4.4677","0","10031","thing","Spirit Island: Nature Incarnate","1","6","180","180","90","2024","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","46.39","USD","","","2025-01-22","Cardhaus.com","1","","","","Greater Than Games, LLC","English","2024","English edition, third printing"
"Splendor","148228","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","122696940","7.29175","7.41862","1.7762","240","135196","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Splito","359878","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","134844325","5.95582","6.73015","1.2571","3410","2476","thing","Splito","3","8","20","20","15","2023","3,4,5,6,7,8","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","25th Century Games; BLAM !","English","2023","25th Century Games English edition"
"Spots","372559","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","124365130","6.68708","7.12931","1.2727","920","12780","thing","Spots","1","4","30","30","25","2022","2,3,4","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Jabba's Palace – A Love Letter Game","353470","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","109734196","6.49626","7.20138","1.2258","1317","8973","thing","Star Wars: Jabba's Palace – A Love Letter Game","2","6","20","20","20","2022","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: The Deckbuilding Game","374173","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","122891760","7.31773","7.81627","2.0377","224","22175","thing","Star Wars: The Deckbuilding Game","2","2","90","90","30","2023","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Storm Raiders","386447","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157588","5.6891","7.26897","2.3333","6424","781","thing","Storm Raiders","1","4","90","90","60","2025","1,2,3,4","2,3","8+","","","","","","","standalone","","34.97","USD","","","2025-09-02","gamenerdz.com","","","","","","","",""
"Suburbia","123260","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125959754","7.28142","7.45808","2.7584","244","31202","thing","Suburbia","1","4","90","90","60","2012","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Super-Skill Pinball: Ramp it Up!","328826","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134555247","5.84373","7.21244","2.1765","4294","2071","thing","Super-Skill Pinball: Ramp it Up!","1","4","20","20","20","2021","1,2,3,4","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","13.29","USD","","","2025-07-22","Cardhaus.com","","","","","WizKids (I)","English","2021","English edition"
"Superfight","139443","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004007","5.60153","5.81771","1.1692","9145","8737","thing","Superfight","3","20","15","15","15","2013","3,4,5,6,7,8,12,13,14,15","4,5,6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go Party!","192291","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","126096474","7.21886","7.37541","1.3223","285","73541","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Swindler's Chest","439721","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133002495","0","8.15","2","0","115","thing","Swindler's Chest","1","8","45","45","30","2025","1","1","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tacta","401636","6.7","1","0","1","0","0","0","0","0","0","0","3","","","","","","134439891","5.90751","6.87771","1.45","3745","2989","thing","Tacta","2","6","20","0","20","2025","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","The Op Games","English","2025","English second edition"
"Take 5 & Take A Number","246912","8","10","0","1","0","0","0","0","0","0","0","3","","","","","","121955539","6.21233","7.50701","1.4211","0","3950","thing","Take 5 & Take A Number","2","10","45","45","25","2018","4,5,6,7,8,9,10","5,6,7","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Teotihuacan: City of Gods","229853","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157637","7.56871","7.83799","3.7798","107","28534","thing","Teotihuacan: City of Gods","1","4","120","120","90","2018","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","24.97","USD","","","2025-08-18","gamenerdz.com","","","","","","","",""
"Terraforming Mars","167791","7.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","133908450","8.19086","8.34098","3.2681","9","156024","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars: Colonies","255681","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135573254","7.47686","8.10239","2.9903","0","31432","thing","Terraforming Mars: Colonies","1","5","120","120","120","2018","1,2,3,4,5","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","25.49","USD","","","2025-08-19","Cardhaus.com","1","","","","FryxGames; Stronghold Games","English","2018","English edition"
"Terraforming Mars: Prelude","247030","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135573191","8.41199","8.84419","2.5517","0","52069","thing","Terraforming Mars: Prelude","1","5","120","120","90","2018","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","18.19","USD","","","2025-08-19","Cardhaus.com","1","","","","FryxGames; Stronghold Games","English","2018","English edition"
"That's Pretty Clever!","244522","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","132469918","7.36552","7.55475","1.8542","199","45566","thing","That's Pretty Clever!","1","4","30","30","30","2018","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Things in Rings","408547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133242172","6.4058","7.15268","1.3725","1550","5987","thing","Things in Rings","2","6","20","20","20","2024","2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Things in Rings: Board Game Promo Pack","438197","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133242176","0","8","0","0","48","thing","Things in Rings: Board Game Promo Pack","2","6","20","20","15","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Through the Desert: Bazaar","399973","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133247760","5.58029","7.275","2.3333","0","1529","thing","Through the Desert: Bazaar","2","5","45","45","45","2024","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Tiny Epic Defenders (Second Edition)","238656","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004749","6.1331","6.93295","2.0351","2473","5659","thing","Tiny Epic Defenders (Second Edition)","1","4","60","60","30","2018","1,2,3,4","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Defenders: The Dark War","228935","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004753","5.86025","7.4048","2.5385","0","4278","thing","Tiny Epic Defenders: The Dark War","1","4","60","60","20","2018","1,2,3,4","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Tiny Towns","265736","6.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","123925791","6.98949","7.18632","2.0662","505","35658","thing","Tiny Towns","1","6","60","60","45","2019","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Towns: Architects","388566","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006888","5.61272","7.87069","2","0","1331","thing","Tiny Towns: Architects","1","6","45","45","45","2024","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Tiny Towns: Tiny Trees","321679","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006896","5.63431","7.14952","2","0","2072","thing","Tiny Towns: Tiny Trees","1","6","45","45","30","2020","1,2,3,4,5,6","1,2,3,4,5,6","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Tokyo Highway: Rainbow City","404513","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133564643","5.88544","7.4869","1.3333","3922","2169","thing","Tokyo Highway: Rainbow City","2","4","50","50","30","2024","2,3,4","4","","","","","","","","standalone","","37.99","USD","","","2025-06-23","Tabletopmerchant.com","","","","","itten","English; Japanese","2024","English edition"
"Tonga Bonga","322","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004382","5.72387","6.52323","1.6889","5755","1019","thing","Tonga Bonga","3","4","45","45","45","1998","4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tournament at Avalon","292974","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128525554","6.16491","7.28139","2.2069","2330","3679","thing","Tournament at Avalon","3","6","45","45","45","2020","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Trailblazer: The John Muir Trail","307044","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140939317","6.10078","7.60445","2.6667","2612","2538","thing","Trailblazer: The John Muir Trail","1","4","120","120","30","2023","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","32.16","USD","","","2026-01-07","miniaturemarket.com","1","","","","","","",""
"Trailblazers: Travel Edition","370598","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","132097110","5.74928","7.16635","1.8333","5370","1742","thing","Trailblazers: Travel Edition","1","4","30","30","30","2023","1,2,3,4","3","","","","","","","","standalone","","","","","","","","","","","","Bitewing Games","English","2023","English edition"
"Trek 12: Himalaya","303672","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134648849","6.20655","6.78882","1.4507","2175","5454","thing","Trek 12: Himalaya","1","50","30","30","15","2022","1,2,3,4,5,6,7","4","8+","No necessary in-game text","","","","","","standalone","","14.97","USD","","","2025-07-26","Gamenerdz.com","","","","","Pandasaurus Games","English","2022","English first edition"
"TRND","433075","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135572595","5.56413","6.41006","1","11633","471","thing","TRND","3","5","30","30","30","2024","2,3,4,5","5","6+","","","","","","","standalone","","19.78","USD","","","2025-08-19","AtomicEmpire.com","1","","","","Oink Games","English; Japanese","2024","English/Japanese edition"
"Two Rooms and a Boom","134352","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133561015","6.54451","6.98629","1.4744","1193","10454","thing","Two Rooms and a Boom","6","30","20","20","7","2016","8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","14,16,17,18,20,22","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","20.99","USD","","","2025-06-23","Tabletopmerchant.com","","","","","Tuesday Knight Games","English","2016","English second edition"
"Undaunted: Normandy","268864","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125960112","7.39426","7.77117","2.2658","179","26122","thing","Undaunted: Normandy","2","2","60","60","45","2019","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Vaalbara","361241","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125959976","6.38261","7.17409","1.7206","1611","4270","thing","Vaalbara","2","5","20","20","20","2022","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Vale of Eternity","385529","8.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","123370709","7.12902","7.60109","2.1376","361","14196","thing","The Vale of Eternity","2","4","45","45","30","2023","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Vale of Eternity: Artifacts","421904","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","123172644","5.97013","7.99711","2.3077","0","3570","thing","The Vale of Eternity: Artifacts","2","4","60","60","40","2024","2,3,4","2,3","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Vantage","420033","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","134660854","7.28024","8.2975","2.3223","246","10999","thing","Vantage","1","6","180","180","120","2025","1,2,3","1,2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","65.6","USD","","","2025-07-26","Stonemaiergames.com","","","","","Stonemaier Games","English","2025","English edition"
"Vegas Strip","428638","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133242168","5.64572","6.6697","2.2","7481","1347","thing","Vegas Strip","2","6","40","40","40","2025","3,4,5,6","4,6","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture Essential Edition","183394","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004983","7.81092","7.96257","2.8951","44","76281","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture World: Cooperative Expansion","360226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660920","6.45182","7.66001","3.1739","0","9321","thing","Viticulture World: Cooperative Expansion","1","6","120","120","60","2022","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","26.4","USD","","","2025-07-26","Stonemaiergames.com","","","","","Stonemaier Games","English","2022","English edition"
"Viticulture World: First Game Continent Promo Pack","364100","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134660901","5.59348","7.23125","2","0","1841","thing","Viticulture World: First Game Continent Promo Pack","1","6","95","95","75","2022","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","0","USD","","","2025-07-26","Stonemaiergames.com","","","","","Stonemaier Games","English","2022","English edition"
"Viticulture: Tuscany Essential Edition","202174","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004975","8.00141","8.53678","3.25","0","32283","thing","Viticulture: Tuscany Essential Edition","1","6","150","150","60","2016","1,2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"War Chest","249259","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","131837460","7.39087","7.82753","2.3203","181","17799","thing","War Chest","2","4","30","30","30","2018","2,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"War Chest: Siege","324656","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006603","6.19477","8.15033","2.3684","0","4936","thing","War Chest: Siege","2","4","60","60","30","2021","2,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"War of the Ring: The Card Game","362944","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134574868","6.84856","7.61617","2.9804","686","10719","thing","War of the Ring: The Card Game","2","4","120","120","90","2022","2,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","32.99","USD","","","2025-07-24","Tabletopmerchant.com","","","","","Ares Games","English","2022","English edition"
"Waterfall Park","396618","6.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","131779844","5.97147","7.05457","1.9545","3313","2661","thing","Waterfall Park","3","5","45","45","45","2023","4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","122006840","6.97807","7.20804","1.1168","514","31321","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"We Didn't Playtest This at All","31016","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003976","5.38476","5.40454","1.0805","29729","7627","thing","We Didn't Playtest This at All","2","10","10","10","1","2007","3,4,5,6,7,8,9,10","5,6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"We Didn't Playtest This Either","42448","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003983","5.58693","5.87683","1.1935","9966","2886","thing","We Didn't Playtest This Either","2","10","10","10","1","2009","3,4,5,6,7","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The White Castle: Matcha","420321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135965712","6.75111","8.42061","3.2609","0","9404","thing","The White Castle: Matcha","1","4","110","110","90","2024","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","expansion","","26.79","USD","","","2025-08-31","Miniaturemarket.com","","","","","Devir","Catalan; English; Italian; Portuguese; Spanish","2024","CA/EN/IT/PT/ES edition 2024"
"Whitehall Mystery","190082","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","122697015","6.81006","7.51986","2.1295","729","8993","thing","Whitehall Mystery","2","4","60","60","45","2020","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","31.99","USD","","","2024-05-11","Cardhaus.com","","","","","asmodee; Giochi Uniti; Sir Chester Cobblepot","English","2020","English edition 2020"
"Wilmot's Warehouse","424975","8.5","0","0","1","0","0","0","0","0","0","0","3","","We played this with 5 people who all professed to have terrible memories and yet managed to have a great time, which is a bit of a magic trick. As a group we generated several hilarious stories to remember the tiles involving a submarine taking pictures a whale, a ven diagram going through mitosis, and ""captain smurfbeard"" waterskiing behind a shark. ","","","","122380607","6.22166","7.52544","1.2174","2122","2498","thing","Wilmot's Warehouse","2","6","30","30","30","2024","2,3,4,5,6","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Witchstone","318560","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129609974","6.74043","7.49604","2.7664","831","7222","thing","Witchstone","2","4","90","90","60","2022","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","37.99","USD","","","2025-08-06","Tabletopmerchant.com","","","","","Atalia; HUCH!; R&R Games","English; French; German","2022","EN/FR/DE edition 2022"
"Wondrous Creatures","400366","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134574926","7.1373","8.06895","3.0294","354","9218","thing","Wondrous Creatures","1","4","80","80","40","2024","1,2,3","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","43.99","USD","","","2025-07-24","Tabletopmerchant.com","","","","","Bad Comet","English","2024","English edition"
